"","osmid","lat","lon","id","missing_neighbors","downtown","demand","supply"
"1045",42432980,40.8294451,-73.9419432,1045,FALSE,FALSE,0,0
"1046",42432983,40.83016,-73.941667,1046,FALSE,FALSE,0,0
"1047",42432985,40.830891,-73.941368,1047,FALSE,FALSE,0,0
"1048",42432990,40.8323747,-73.9408792,1048,FALSE,FALSE,0,0
"1049",42432992,40.833098,-73.940653,1049,FALSE,FALSE,0,0
"1050",42432994,40.833786,-73.94036,1050,FALSE,FALSE,0,0
"1051",42432999,40.8344923,-73.940048,1051,FALSE,FALSE,0,0
"1052",42433011,40.8350754,-73.9397872,1052,FALSE,FALSE,0,0
"1053",42433014,40.8358221,-73.9398835,1053,FALSE,FALSE,0,0
"1054",42433017,40.8361153,-73.9400362,1054,FALSE,FALSE,0,0
"1055",42433020,40.8369673,-73.9401365,1055,FALSE,FALSE,0,0
"1056",42433024,40.837714,-73.939994,1056,FALSE,FALSE,0,0
"1057",42433027,40.8385135,-73.9398455,1057,FALSE,FALSE,0,0
"1058",42433030,40.8395698,-73.9398826,1058,FALSE,FALSE,0,0
"1059",42433035,40.8409552,-73.9394727,1059,FALSE,FALSE,0,0
"1060",42433041,40.8422438,-73.9388621,1060,FALSE,FALSE,0,0
"1061",42433043,40.8429055,-73.9384302,1061,FALSE,FALSE,0,0
"1062",42433044,40.843501,-73.937982,1062,FALSE,FALSE,0,0
"1063",42433046,40.844788,-73.937043,1063,FALSE,FALSE,0,0
"1064",42433057,40.845434,-73.93657,1064,FALSE,FALSE,0,0
"1065",42433058,40.846105,-73.936078,1065,FALSE,FALSE,0,0
"1066",42433060,40.846727,-73.935622,1066,FALSE,FALSE,0,0
"1067",42433062,40.847358,-73.935172,1067,FALSE,FALSE,0,0
"1068",42433064,40.8479996,-73.9346943,1068,FALSE,FALSE,0,0
"1069",42433066,40.849321,-73.933731,1069,FALSE,FALSE,0,0
"1070",42433068,40.849895,-73.93331,1070,FALSE,FALSE,0,0
"1071",42433069,40.850506,-73.932861,1071,FALSE,FALSE,0,0
"1072",42433072,40.851095,-73.932433,1072,FALSE,FALSE,0,0
"1073",42433075,40.851696,-73.931995,1073,FALSE,FALSE,0,0
"1074",42433077,40.85238,-73.931495,1074,FALSE,FALSE,0,0
"1075",42433080,40.853062,-73.930996,1075,FALSE,FALSE,0,0
"1076",42433097,40.853685,-73.930539,1076,FALSE,FALSE,0,0
"1077",42433107,40.85431,-73.930082,1077,FALSE,FALSE,0,0
"1078",42433115,40.854908,-73.929644,1078,FALSE,FALSE,0,0
"1079",42433138,40.856606,-73.928411,1079,FALSE,FALSE,0,0
"1080",42433151,40.8568009,-73.928266,1080,FALSE,FALSE,0,0
"1081",42433161,40.7990263,-73.9524352,1081,FALSE,FALSE,0,0
"1082",42433163,40.7998583,-73.9524733,1082,FALSE,FALSE,0,0
"1083",42433165,40.8015271,-73.9525498,1083,FALSE,FALSE,0,0
"1084",42433173,40.802366,-73.9525882,1084,FALSE,FALSE,0,0
